@relation Paper

@attribute tipo_0 {AntennaUMTS,Farmacia,Bar}
@attribute citt_0 {Eu,ExtraEu}
@attribute conformance {TRUE,FALSE,'?'}

@data
Farmacia,Eu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,Eu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,Eu,TRUE
Bar,ExtraEu,TRUE
AntennaUMTS,ExtraEu,FALSE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Bar,ExtraEu,TRUE
AntennaUMTS,Eu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,Eu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,ExtraEu,FALSE
AntennaUMTS,ExtraEu,FALSE
Bar,ExtraEu,TRUE
Bar,Eu,TRUE
Farmacia,ExtraEu,TRUE
Bar,ExtraEu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,Eu,TRUE
Farmacia,Eu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
AntennaUMTS,ExtraEu,FALSE
Farmacia,Eu,TRUE
Bar,ExtraEu,TRUE
AntennaUMTS,Eu,TRUE
Bar,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Bar,ExtraEu,TRUE
AntennaUMTS,ExtraEu,FALSE
Bar,ExtraEu,TRUE
AntennaUMTS,ExtraEu,FALSE
Bar,Eu,TRUE
AntennaUMTS,ExtraEu,FALSE
Farmacia,ExtraEu,TRUE
AntennaUMTS,ExtraEu,FALSE
Bar,Eu,TRUE
Bar,Eu,TRUE
Farmacia,Eu,TRUE
Bar,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
AntennaUMTS,ExtraEu,FALSE
AntennaUMTS,ExtraEu,FALSE
Bar,Eu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,Eu,TRUE
Bar,ExtraEu,TRUE
AntennaUMTS,Eu,TRUE
Farmacia,ExtraEu,TRUE
Bar,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,ExtraEu,FALSE
Bar,Eu,TRUE
AntennaUMTS,ExtraEu,FALSE
Farmacia,ExtraEu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,ExtraEu,FALSE
Bar,ExtraEu,TRUE
AntennaUMTS,Eu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,Eu,TRUE
Bar,ExtraEu,TRUE
Bar,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Bar,Eu,TRUE
Bar,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,ExtraEu,FALSE
Bar,Eu,TRUE
Bar,Eu,TRUE
Farmacia,ExtraEu,TRUE
Bar,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,ExtraEu,TRUE
Bar,ExtraEu,TRUE
AntennaUMTS,ExtraEu,FALSE
Bar,ExtraEu,TRUE
Bar,Eu,TRUE
Bar,Eu,TRUE
Farmacia,ExtraEu,TRUE
Farmacia,Eu,TRUE
AntennaUMTS,Eu,TRUE
AntennaUMTS,ExtraEu,FALSE
